age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date
73,26125.17,583,30991.7,19.28,5,0.8,180.25,5,4447.15,Male,Self-Employed,High School,Car,Central,Married,2017,84,2/7/2017
28,,764,7669.93,21.48,4,1.1,13777.26,9,11115.68,Male,Full-Time,,Car,West,Single,2021,36,3/8/2021
32,37383.23,468,18107.43,17.95,3,4.4,416.65,9,9543.2,Male,Unemployed,Master,Personal,East,,2023,36,14/1/2023
45,25045.65,684,5833.56,27.39,3,5.3,2617.32,7,7438.13,Female,Full-Time,Bachelor,Car,West,Married,2018,12,19/7/2018
61,33347.8,727,3129.05,8.72,4,,9676.95,6,10661.34,Female,Retired,Master,Business,North,Married,2023,12,14/10/2023
74,40620.9,647,33175.45,29.99,3,12.7,3256.94,6,8915.48,Male,Full-Time,Bachelor,Car,North,,2022,48,7/11/2022
28,37226.79,679,18841.44,10.63,6,3,,9,8839.73,Female,Full-Time,Bachelor,Home,East,Married,2012,36,5/7/2012
30,48839.98,633,15125.37,22.31,0,5,14134.04,8,12721.91,Female,Part-Time,PhD,Personal,Central,Single,2020,24,23/8/2020
57,56013.63,535,8805.67,14.14,4,6.8,37887.23,7,11071.06,Female,Full-Time,Bachelor,Business,East,Married,2020,60,18/2/2020
64,48302.85,534,9649.66,18.96,2,9.1,1659.4,1,12405.91,Female,Self-Employed,PhD,Business,South,Married,2016,84,17/7/2016
28,45050.35,629,3004.53,16.08,2,6.9,15469.34,7,16426.05,Female,Retired,High School,Home,South,Single,2012,12,19/10/2012
66,44563.91,560,6960.73,28.35,5,0.5,2530.52,9,10199.46,Male,Self-Employed,,Medical,West,,2021,36,25/4/2021
69,43302.28,668,15425.49,31.24,0,11,4731.07,1,15117.45,Male,Full-Time,Master,Medical,West,Married,2022,48,7/8/2022
74,109861.68,799,24328.53,25.3,2,2.3,11733.14,4,42028.01,Female,Full-Time,PhD,Home,Central,,2021,36,15/12/2021
22,,559,4623.19,21.01,2,0.1,3439.19,5,9537.23,Female,Full-Time,High School,Business,Central,Single,2015,48,9/4/2015
58,26879.34,818,21495.27,30.96,4,17.1,,8,4764.48,Male,Full-Time,Bachelor,Personal,Central,Single,2024,60,27/9/2024
67,40630.76,729,3953.49,32.11,5,3.1,9811.2,5,14561.6,Female,Full-Time,High School,Car,South,Married,2023,36,13/11/2023
55,45023.38,644,65392.84,39.77,3,4.3,2247.61,3,7844.52,Male,Full-Time,High School,Car,North,Married,2017,36,20/9/2017
63,75580.19,469,51497.6,2.13,2,6.9,3177.35,6,13501,Male,Unemployed,PhD,Personal,West,Divorced,2012,60,6/11/2012
55,155594.97,574,8882.39,36.42,1,2.5,4854.7,7,35129.16,Female,Part-Time,,Car,North,Married,2020,36,16/10/2020
31,,547,13747.35,43.95,6,1.6,1066.77,2,27107.85,Female,Full-Time,Bachelor,Education,Central,Married,2021,24,14/5/2021
27,18034.94,647,12357.07,40.83,3,0.3,6271,6,4387.93,Female,Unemployed,Bachelor,Business,South,Divorced,2024,60,15/6/2024
46,26268.16,664,34417,41.88,1,0.5,2294.62,5,6386.06,Female,Retired,High School,Car,East,Divorced,2022,84,1/1/2022
50,45908.02,536,13347.77,19.78,4,11.9,35311.19,1,8563.62,Female,Retired,High School,Home,West,Widowed,2015,60,9/5/2015
30,47560.67,693,2695.18,25.71,5,1.1,101333.74,1,16669.94,Female,Retired,High School,Car,West,Divorced,2015,36,1/5/2015
52,,746,9464.05,2.21,4,0.2,967.71,6,5607.04,Male,Full-Time,Master,Business,South,Single,2016,36,28/11/2016
65,34098.11,623,18879.61,15.69,0,9,2041,0,7797.8,Male,Full-Time,Bachelor,Car,West,Widowed,2020,60,6/12/2020
73,29694.18,625,12082.22,25.47,2,1.8,15566.3,2,8718.95,Male,Retired,Bachelor,Car,South,Divorced,2023,60,10/4/2023
28,44404.8,516,11255.95,21.43,5,5.4,37313.71,7,13594.24,Male,Full-Time,Master,Personal,West,Divorced,2013,36,4/1/2013
36,88859.24,590,27604.92,30.44,1,7,,4,23634.93,Female,Full-Time,,Home,North,Married,2018,36,28/10/2018
33,76228.02,506,11101.56,5.36,4,12.7,331.46,5,13982.68,Female,Part-Time,High School,Personal,Central,Divorced,2022,60,12/7/2022
30,37317.93,843,23639.08,12.04,5,13,495.9,2,8798.55,Male,Unemployed,,Business,Central,Divorced,2014,48,14/3/2014
47,65031.94,623,42399.68,27.75,1,0.6,1766.16,6,11169.4,Female,Retired,High School,Business,East,Married,2018,60,25/3/2018
53,,586,26487.97,24.56,3,,3974.68,1,3704.95,Male,Part-Time,,Car,West,Widowed,2022,60,28/11/2022
18,62060.17,536,3246.01,29.95,1,1.9,42438.67,0,,Male,Part-Time,High School,Business,East,Married,2011,36,3/6/2011
46,21086.79,654,5087.06,15.35,0,,4189.81,7,,Female,Unemployed,Bachelor,Car,West,Single,2018,24,6/12/2018
26,89011.32,566,13288.39,61.82,0,4.1,2388.47,5,15395.25,Female,Part-Time,Bachelor,Home,South,Divorced,2023,60,18/6/2023
54,65349.14,739,24804.79,43.98,0,4.5,20754.98,1,13975.28,Male,Full-Time,Master,Education,North,,2022,60,4/8/2022
38,42447.51,636,20403.3,48.66,5,0.6,2426.27,4,10984.12,Male,Unemployed,Master,Home,West,Married,2015,36,15/4/2015
41,111954.76,499,37477.44,56.39,5,2.4,8268.32,3,23540.39,Male,Self-Employed,Bachelor,Education,East,Single,2021,36,13/11/2021
19,28827.5,638,7018.25,26.75,6,2.3,1867.81,6,9368.12,Male,Full-Time,High School,Business,West,Married,2020,36,27/4/2020
72,99755.52,578,10418.67,53.19,4,0.8,4623.89,3,24161.92,Male,Full-Time,Bachelor,Home,Central,Widowed,2018,36,25/7/2018
25,27450.07,652,19878.02,31.44,1,11.8,841.85,1,8368.63,Female,Self-Employed,High School,Personal,South,Single,2017,60,24/7/2017
44,,750,13576.71,16.12,3,16.7,11124.69,3,10261.43,Female,Unemployed,High School,Car,West,Single,2016,60,16/12/2016
39,57915.31,601,15562.22,48.58,3,1.5,12421.29,4,21282.14,Female,Part-Time,High School,Home,Central,Married,2018,24,22/12/2018
54,73089.79,607,20468.24,51.81,1,1.3,4606.26,1,14229.08,Female,Full-Time,,Car,West,Single,2017,24,6/5/2017
71,23845.6,658,38720.05,2.83,4,1.7,,4,4787.95,Female,Self-Employed,High School,Home,West,Single,2014,24,6/4/2014
44,48861.77,591,4489.75,71.79,6,3.6,1157.29,2,17722.93,Female,Part-Time,,Home,East,,2020,36,24/2/2020
51,31037.36,506,6774.08,25.49,0,3.9,1223.44,3,7057.71,Female,Self-Employed,Master,Education,South,Divorced,2014,48,3/6/2014
42,49994.11,611,10977.75,56.35,0,3.1,8375.64,4,12554.18,Male,Full-Time,Bachelor,Personal,Central,Married,2023,24,27/2/2023
37,,602,27262.29,34.52,6,2.7,4157.46,6,15132.88,Male,Full-Time,,Car,West,Married,2014,36,14/3/2014
52,,663,6988.84,20.42,2,16.2,3393.61,0,9280.52,Male,Part-Time,,Medical,South,Married,2016,36,23/4/2016
56,56988.7,756,27057.51,15.93,6,5.4,1999.8,0,13105.96,Male,Retired,Bachelor,Car,West,Married,2017,36,27/10/2017
44,22888.49,633,5978.68,60.25,2,3.2,14331.74,3,3904.26,Male,Full-Time,Bachelor,Education,East,Married,2018,60,21/4/2018
18,77917.06,836,24209.52,61.6,1,0.8,14167.35,3,17744.51,Male,Full-Time,Bachelor,Home,Central,Single,2019,48,13/2/2019
67,37544.83,561,12610.38,39.38,2,4.6,3379.81,6,11717.76,Female,Unemployed,Bachelor,Car,West,Single,2019,48,5/9/2019
18,77173.11,736,21040.24,19.35,4,0.7,5225.99,3,16219.84,Female,Part-Time,Master,Business,North,Married,2017,36,17/6/2017
37,75121.17,617,2149.91,24.32,2,11.4,51022.8,7,25091.06,Female,Full-Time,High School,Education,West,Single,2020,24,26/9/2020
69,64020.71,642,177981.99,34.08,6,3.7,,5,16340.8,Female,Retired,,Car,Central,Single,2017,48,9/8/2017
40,49348.64,773,21300.7,15.56,3,3.3,5401.27,9,,Female,Full-Time,Master,Education,South,Single,2011,60,2/4/2011
22,150664.06,416,23181.53,35.76,5,4.1,17402.7,8,35391.1,Male,Full-Time,Bachelor,Medical,West,Single,2013,48,26/6/2013
18,21038.53,718,29601.61,22.51,2,0.4,14370.43,6,4731.6,Male,Unemployed,Bachelor,Home,East,,2021,36,1/6/2021
39,47730.88,572,18039.93,16.9,2,3.1,9557.88,0,8651.88,Female,Part-Time,High School,Business,North,Married,2024,36,12/2/2024
51,33390.82,647,10705.1,4.13,3,,3220.92,0,9004.08,Male,Part-Time,Bachelor,Personal,East,,2020,60,23/7/2020
73,53418.9,569,17926.53,27.25,4,6.3,4610.9,6,15869.87,Male,Retired,High School,Business,North,Married,2019,36,14/9/2019
62,30276.51,805,148068.58,30.58,4,13.4,2392.44,5,10984.2,Female,Full-Time,High School,Business,West,Single,2018,60,13/8/2018
21,39887.01,581,24242.19,9.99,2,,4458.59,9,6735.54,Female,Full-Time,High School,Home,South,Single,2016,60,24/3/2016
28,17154.65,553,12231.79,22.41,3,7.4,5820.59,7,2991.01,Female,Self-Employed,,Home,East,Married,2021,84,23/12/2021
68,14945.42,599,6315.93,14.38,5,6.1,13876.81,8,3546.64,Female,Unemployed,Bachelor,Car,South,Single,2010,36,18/6/2010
38,53027.29,651,24344.72,45.35,3,4.9,34736.72,0,11643.06,Female,Full-Time,Master,Medical,Central,Married,2013,48,24/11/2013
43,58087.12,618,10887.08,53.45,3,3.8,595.23,3,11988,Female,Retired,High School,Home,East,Married,2016,36,6/12/2016
24,34833.44,685,24328.96,18.36,5,6.6,394.51,7,5974.57,Male,Retired,Bachelor,Business,South,Single,2015,48,23/3/2015
24,51649.68,436,5258.44,13.58,5,3.7,8640.92,3,15515.61,Male,Full-Time,PhD,Education,East,,2016,48,23/10/2016
38,26891.44,550,3964.4,75.36,5,0.4,,4,6312.31,Male,Unemployed,,Home,East,Single,2012,48,25/4/2012
31,73777.21,642,5464.45,57.17,0,2.7,2404.89,0,15487.77,Female,Self-Employed,Bachelor,Home,East,Widowed,2023,60,19/3/2023
40,114634.09,682,13104.63,6.38,3,2.1,9433.79,2,19423.01,Male,Full-Time,,Medical,East,Divorced,2024,12,21/9/2024
59,66789.18,643,18809.01,13.58,2,1.6,3192.61,6,18990.37,Male,Full-Time,Bachelor,Medical,East,Married,2017,60,16/1/2017
67,60297.86,627,20894.6,19.11,2,6.4,9636.85,4,15060.26,Female,Full-Time,,Education,North,Divorced,2023,12,15/7/2023
62,97118.94,777,15816.91,28.04,5,1.8,21710.99,8,24584.22,Female,Unemployed,,Personal,Central,Married,2020,84,22/7/2020
46,60091.81,670,24864.94,27.33,1,9.1,40360.47,9,15167.04,Male,Unemployed,Bachelor,Education,Central,Married,2023,24,28/12/2023
58,23446.09,731,3221.65,20.67,0,1.2,2065.42,9,6564.05,Male,Retired,High School,Education,North,Divorced,2016,12,1/5/2016
63,,656,25478.42,59.78,6,7.2,1112.99,0,17411.11,Female,Self-Employed,High School,Home,West,Divorced,2015,24,26/6/2015
20,32936.11,590,12089.61,29.29,5,13,4354.75,2,8454.19,Male,Full-Time,,Home,South,Single,2018,48,14/11/2018
41,30254.27,662,4367.78,43.88,1,11.5,11122.33,5,6046.48,Female,Self-Employed,Bachelor,Education,North,Single,2023,60,22/7/2023
51,29544.15,554,2100.42,30.39,4,14.6,7811.72,3,5013.11,Female,Full-Time,Master,Business,North,Married,2016,60,12/8/2016
41,34159.2,711,47654.95,21.91,0,5.3,36913.36,7,9275.5,Male,Full-Time,High School,Home,East,,2011,48,23/7/2011
21,,705,11548.33,44.25,0,2,16947.99,7,9607.88,Male,Retired,Bachelor,Education,North,Single,2021,48,20/6/2021
66,,694,5690.05,13.46,5,4.1,2621.11,1,29294.21,Male,Retired,High School,Personal,South,Married,2024,36,6/3/2024
70,136303.44,671,5300.58,17,6,0.7,1897.43,6,23779.82,Male,Full-Time,High School,Personal,South,Married,2013,36,24/4/2013
20,43139.19,616,6941.04,13.34,5,1.2,8072.3,6,13583.87,Female,Unemployed,High School,Education,East,,2024,36,14/4/2024
39,24895.45,716,26996.97,62.63,6,7,18520.06,4,8805.04,Female,Full-Time,,Education,North,Married,2020,36,7/1/2020
64,63189.5,499,11360.23,7.12,0,0.7,77056.08,7,12972.83,Female,Full-Time,Master,Business,East,Married,2020,36,17/5/2020
45,105862.75,773,54146.83,16.29,2,3.9,1120,2,,Male,Full-Time,PhD,Home,East,Married,2016,36,17/8/2016
29,14703.85,672,71752.04,24.18,3,,1284.53,7,4205.45,Female,Self-Employed,Bachelor,Business,West,Divorced,2012,24,11/10/2012
54,46170.36,557,4247.14,21.67,4,8.6,,2,11576.43,Male,Full-Time,Bachelor,Car,South,Single,2019,60,20/6/2019
65,42712.85,514,4294.99,18.6,3,9.7,2265.16,3,8665.87,Non-Binary,Full-Time,Master,Business,West,,2018,24,16/6/2018
65,89513.18,416,7791.26,12.68,5,7.7,6989.52,4,17197.94,Male,Self-Employed,Bachelor,Car,South,Single,2019,60,4/2/2019
53,62970.49,643,14323.63,58.93,4,5.8,11756.19,5,22556.77,Male,Full-Time,High School,Home,Central,Single,2023,24,2/10/2023
33,,540,33299.47,35.89,5,7.9,4977.13,9,3716.33,Male,Full-Time,,Car,East,Married,2021,60,25/7/2021
39,42212.4,620,13664.95,19.85,,0.4,2058.22,5,15662.38,Female,Full-Time,,Medical,South,,2019,60,9/6/2019
71,,706,56061.21,49.53,6,5,1259.03,9,10315.45,Male,Full-Time,Master,Business,South,Single,2019,12,15/6/2019
38,34081.1,685,28260.07,40.4,1,0,21493.02,3,7175.77,Female,Full-Time,Bachelor,Education,Central,Married,2017,60,11/2/2017
59,,776,17309.42,7.81,1,5.4,12391.24,0,26614.46,Male,Full-Time,Bachelor,Home,Central,Married,2014,36,12/4/2014
49,53971.89,767,7292.75,38.8,6,1.7,3274.47,8,9579.23,Male,Part-Time,Master,Medical,North,Married,2012,48,14/8/2012
34,,653,18358.66,10.86,0,14.2,13716.96,7,10511.02,Male,Unemployed,,Car,South,Single,2022,60,4/7/2022
28,22469.48,838,6440.47,20.58,1,2.9,706.98,8,4091.58,Male,Full-Time,High School,Personal,North,Single,2022,48,17/12/2022
39,98687.18,571,10220.15,35.28,5,,4560.37,8,33179.69,Male,Full-Time,,Personal,West,,2021,84,2/9/2021
54,,554,25371.98,39.53,2,2.9,25644.38,0,15482.97,Female,Unemployed,High School,Home,North,Married,2020,24,20/10/2020
66,95040.81,795,66215.09,33.63,5,3.7,18050.61,3,22444.28,Male,Part-Time,Master,Personal,East,,2016,84,12/12/2016
32,38881.47,678,16413.24,25.03,5,3.8,8318.43,4,9907.42,Male,Part-Time,Bachelor,Home,East,Divorced,2023,36,27/11/2023
49,23823.91,535,32275.65,26.18,6,19.4,2640.44,6,4754.92,Female,Full-Time,Master,Home,West,Single,2023,60,19/8/2023
56,31966.82,661,6997.87,19.48,1,1.9,9617.75,6,8435.09,Male,Full-Time,High School,Car,North,Divorced,2015,24,14/3/2015
18,135842.73,545,7245.71,23.53,2,4.4,4257.13,0,27147.92,Female,Part-Time,Master,Car,Central,Single,2015,84,15/11/2015
56,44948.97,652,27456.15,20.07,1,0.3,3572.05,5,,Male,Unemployed,High School,Home,South,Married,2014,48,2/9/2014
74,55121.33,638,5305.08,13.21,6,1.7,3083.65,4,11946.48,Male,Self-Employed,High School,Home,West,Single,2018,36,26/5/2018
51,25946.76,607,12807.57,6.09,2,3.5,2635.46,4,6588.34,Male,Unemployed,High School,Education,North,Single,2019,36,12/6/2019
46,103642.14,661,8044.26,22.2,2,3.7,1600,9,,Female,Full-Time,Bachelor,Education,Central,Single,2020,60,16/5/2020
26,,761,5612.85,29,4,2.5,14630.38,7,10661,Male,Part-Time,Master,Home,South,Single,2011,48,18/7/2011
23,16818.38,556,9881.47,8.32,5,0.6,2642.03,1,5271.37,Male,Part-Time,Bachelor,Home,West,Married,2024,48,18/7/2024
69,42135.33,786,3415.76,15.66,1,3.8,10163.73,9,13428.62,Male,Full-Time,,Business,East,Married,2021,48,6/4/2021
20,32316.11,678,21032.73,59.85,4,3.4,946.38,4,5740.84,Female,Unemployed,,Education,West,Married,2015,24,7/8/2015
34,64315.16,601,3736.68,22.32,3,3.5,4733.23,5,14254.82,Female,Full-Time,Bachelor,Car,West,Single,2017,24,26/4/2017
66,55629.39,850,5427.18,20.41,0,6.8,548.06,8,9423.03,Male,Self-Employed,High School,Education,North,Married,2022,84,9/1/2022
64,102505.49,793,17143.94,16.99,6,,1618.18,7,39050.3,Female,Full-Time,Bachelor,Personal,South,Single,2021,36,24/6/2021
18,37750.34,633,8141.76,17.4,5,1.8,28458.03,2,7442.8,Female,Full-Time,Bachelor,Personal,West,Single,2018,60,22/7/2018
34,59241.42,561,13551.89,29.05,5,11,3159.18,6,10867.21,Male,Retired,Master,Car,East,Married,2023,36,25/1/2023
20,67490.14,634,7334.7,50.56,1,1.4,17009.82,8,16180.7,Male,Self-Employed,Bachelor,Car,Central,Single,2021,48,7/9/2021
43,57807.71,684,14906.43,26.57,6,1.4,9947.45,0,11815.64,Female,Full-Time,Bachelor,Home,East,Single,2021,36,19/1/2021
49,54416.25,639,46912.29,34.8,6,5.3,43542.49,0,11616.99,Male,Retired,Master,Education,South,Divorced,2023,48,25/3/2023
49,27237.31,640,11244.69,19.74,4,2.5,24148.61,4,4563.29,Female,Full-Time,Master,Business,West,Married,2016,48,18/5/2016
35,14033.01,451,21603.43,27.3,6,5.4,873.22,8,4788.19,Male,Self-Employed,Bachelor,Business,East,Married,2014,36,6/4/2014
69,75919.47,686,7275,41.57,2,2.1,11805.63,6,,Female,Self-Employed,Master,Home,West,Divorced,2015,36,11/6/2015
50,22139,673,23735.13,42.62,6,5,2041.27,6,3716.58,Male,Full-Time,,Business,West,Single,2020,36,23/12/2020
51,54566.03,734,12685.77,37.73,3,,2657.32,7,20148.63,Male,Full-Time,,Home,Central,Divorced,2015,60,22/4/2015
46,45000.68,683,19023.71,34.1,2,1.9,1996.97,3,,Male,Unemployed,Master,Car,Central,Married,2021,60,7/2/2021
74,62214.15,589,7382.24,46.5,2,2.3,36156.91,9,16004.22,Male,Self-Employed,Master,Home,South,Single,2021,12,8/8/2021
57,,649,7683.87,52.55,4,1,1258.29,4,25038.86,Male,Retired,Master,Business,South,Divorced,2012,48,12/10/2012
22,32139.33,731,4121.81,29.64,6,1,2562.13,3,10904.96,Male,Self-Employed,Bachelor,Personal,South,Single,2014,24,7/10/2014
65,43430.59,694,41808.05,38.02,6,1.9,818.27,9,15975.09,Female,Self-Employed,High School,Medical,West,Single,2015,24,19/6/2015
27,77464.85,678,12858.88,18.35,3,1.2,743.48,1,15275.21,Male,Full-Time,Master,Business,North,Married,2012,24,10/9/2012
42,16106.71,650,8580.96,25.57,5,2.4,1763.37,9,3971.94,Female,Self-Employed,High School,Business,East,Single,2024,60,17/4/2024
21,64805.14,688,16317.56,66.46,5,3.3,5067.9,6,15020.51,Female,Full-Time,Bachelor,Car,North,Married,2013,36,22/9/2013
19,35887.42,676,21494.87,7.2,1,7,,6,13557.05,Male,Part-Time,Bachelor,Car,South,Married,2012,36,19/9/2012
24,74098.37,686,4522.84,38.98,0,5.2,1934.6,4,15275.43,Male,Full-Time,Master,Education,South,Married,2017,84,15/12/2017
31,88211.19,777,20545.16,16.02,6,19.7,9064.22,0,23154.03,Male,Full-Time,Bachelor,Home,South,Married,2022,36,9/7/2022
36,128357.25,743,40734.64,18.28,5,0.1,3268.37,0,33447.73,Female,Full-Time,Bachelor,Home,South,,2024,48,3/4/2024
33,49870.08,683,19723.33,41.38,2,5.5,318.29,4,11779.58,Female,Full-Time,Master,Medical,East,Divorced,2015,36,13/1/2015
70,43826.1,514,22255.82,50.47,4,2,7297.59,9,13437.52,Male,Self-Employed,High School,Education,North,Divorced,2018,60,21/6/2018
22,38982.57,709,27370.47,25.56,5,1.1,6601.71,0,8410.99,Female,Retired,Bachelor,Business,North,Single,2013,60,16/3/2013
45,55106.82,658,16950.98,18.91,4,8.2,2931.27,4,15545.71,Male,Self-Employed,Master,Personal,South,Married,2017,36,20/9/2017
31,,718,26560.59,8.17,1,7.6,8580.5,5,14741.24,Male,Unemployed,Master,Car,Central,,2017,60,15/10/2017
71,75249.53,817,11337.94,9.98,3,16.7,7596.26,4,23522.38,Male,Full-Time,Bachelor,Personal,West,Single,2021,36,13/12/2021
50,70237.72,671,10670.56,32.73,0,1.4,5585.86,5,11925.77,Male,Unemployed,Master,Car,South,Single,2019,24,10/3/2019
65,24648.02,582,12625.13,32.58,,1.4,1490.07,9,9011.83,Female,Full-Time,High School,Personal,East,Married,2017,60,7/4/2017
22,26266.96,524,5764.9,29,5,2.1,1530.24,1,4429.62,Male,Full-Time,Master,Home,East,Single,2021,48,24/3/2021
64,46316.19,810,16445.03,11.39,0,0.7,7105.56,0,9605.75,Male,Self-Employed,High School,Business,Central,Married,2019,48,27/5/2019
21,105793.22,589,30512.13,15.89,5,0.3,21592.12,0,19662.41,Male,Full-Time,Bachelor,Medical,North,Single,2022,48,12/9/2022
71,26304.86,496,19994.46,56.37,0,3.4,16336.37,9,8790.82,Female,Full-Time,Master,Home,Central,,2024,24,10/10/2024
24,44832.16,573,2329.27,39.06,5,1.9,2075.16,9,10840.15,Female,Part-Time,Bachelor,Personal,East,Divorced,2024,24,14/1/2024
32,109061.66,730,25027.57,40.11,0,5,2742.37,9,42882.77,Female,Full-Time,PhD,Home,North,Single,2023,48,12/2/2023
40,97590.65,609,47552.44,24.16,1,1,8510.78,2,,Female,Full-Time,,Home,Central,Divorced,2022,36,23/10/2022
36,,614,13914.14,61.18,1,1.1,669.24,0,2918.15,Male,Part-Time,Master,Home,Central,Divorced,2015,48,23/4/2015
73,,715,12275.48,10.84,4,0.1,1725.52,0,16463.82,Male,Full-Time,Master,Car,West,Married,2021,60,15/10/2021
37,55748.76,675,7137.34,26.64,,6.1,539.71,7,12730.77,Female,Part-Time,PhD,Medical,West,Widowed,2017,24,24/3/2017
27,36851.78,695,22709.22,30.93,1,2.1,1584.76,7,11700.36,Female,Full-Time,High School,Personal,East,Single,2010,60,12/6/2010
58,237558.99,724,12242.76,65.88,0,0.3,14793.29,3,55550.15,Male,Part-Time,High School,Home,South,Married,2017,48,27/2/2017
43,,789,45214.67,19.31,1,4.6,6586.71,2,14033.04,Male,Self-Employed,,Home,South,,2019,36,12/1/2019
45,83632.33,767,3163.54,25.47,4,1.5,3878.67,5,18435.5,Male,Part-Time,PhD,Home,North,Widowed,2021,36,17/3/2021
58,15733.69,595,11788.23,23.54,1,0.9,24630.29,8,3865.64,Male,Self-Employed,,Car,Central,,2016,24,7/11/2016
44,51823.8,740,9925.72,34.69,0,6.8,2276.09,5,12237.92,Female,Part-Time,High School,Education,West,Widowed,2020,84,26/9/2020
24,27462.8,470,41075.57,5.82,6,10.1,8048.18,1,7504.04,Male,Unemployed,High School,Home,South,Married,2023,48,4/3/2023
27,,692,25778.75,27.21,3,1.9,5333.32,7,13118.91,Male,Part-Time,Master,Education,East,,2018,36,25/3/2018
60,23603.56,522,38421.64,15.03,3,4,1985.57,3,7782.76,Female,Full-Time,Bachelor,Business,West,Married,2016,36,13/3/2016
55,49437.16,814,10261.86,14.88,3,2.9,696.9,5,12260.48,Female,Part-Time,High School,Car,East,Single,2021,60,3/12/2021
71,38202.68,709,30997.99,24.08,5,1.4,4155.28,9,9128.96,Male,Full-Time,High School,Home,East,Married,2024,36,8/11/2024
36,24189.55,765,14203.38,35.49,3,8.9,658.02,0,5054.66,Female,Full-Time,High School,Home,Central,Divorced,2015,36,23/10/2015
70,46836.93,733,6899.77,26.48,,,19572.47,8,8939.56,Male,Full-Time,Bachelor,Home,West,Married,2017,36,26/12/2017
32,93928.48,462,14846.89,5.48,2,11.4,5578.01,5,21217.34,Male,Self-Employed,Master,Home,West,Married,2023,84,11/11/2023
44,119509.71,592,6050.96,41.29,5,11.4,7594.45,2,24204.96,Male,Full-Time,Master,Medical,East,,2020,36,10/3/2020
27,27516.7,603,2869.7,24.11,1,1.2,5744.21,6,8686.27,Female,Unemployed,PhD,Personal,Central,Married,2010,36,3/4/2010
50,43512.96,686,10717.52,26.46,5,16.6,2723.39,0,8339.21,Male,Retired,High School,Home,West,Single,2024,36,20/3/2024
58,44674.98,647,12528.04,9.13,6,3.1,2268.65,0,8033.31,Female,Part-Time,Bachelor,Car,West,Single,2018,12,14/5/2018
21,139409.34,408,5707.9,17.23,6,6.1,5099.78,7,28005.97,Male,Full-Time,Master,Car,East,Widowed,2010,60,5/1/2010
18,58964.05,712,22395.59,42.3,3,4.1,2816.96,0,10456.24,Female,Self-Employed,Master,Home,North,Married,2015,24,16/7/2015
27,43569.8,566,12531.55,39.5,1,1.8,6260.16,2,7631.73,Female,Unemployed,,Business,West,,2018,84,25/11/2018
32,175418.3,500,11794.2,8.94,,6.4,24350.85,3,30937.9,Male,Full-Time,Bachelor,Home,South,Single,2015,36,22/1/2015
47,48855.97,715,17857.19,4.54,4,3.4,3393.44,2,8422.08,Female,Full-Time,High School,Personal,North,Single,2010,60,6/11/2010
62,,659,11425.36,12.03,1,4.2,12099.76,6,10369.18,Female,Full-Time,,Education,West,Divorced,2018,36,1/3/2018
21,22649.76,667,12844.59,22.99,5,,872.44,6,6745.28,Female,Self-Employed,Bachelor,Home,North,Widowed,2014,36,24/4/2014
63,12028.78,541,5975.04,13.9,5,1.8,3757.47,2,4500.14,Female,Full-Time,Bachelor,Business,East,Widowed,2014,60,11/8/2014
49,27310.93,656,24203.63,22.53,0,6.5,32980.78,5,7695.67,Female,Full-Time,Master,Business,South,Married,2020,48,5/9/2020
23,,818,21090.21,40.8,3,3.8,,2,15704.36,Male,Full-Time,Bachelor,Home,East,Married,2018,36,17/11/2018
34,126474.18,682,8543.94,24.07,2,3.7,28564.8,3,49217.86,Female,Full-Time,High School,Business,South,Married,2020,84,20/3/2020
71,83315.67,713,19247.63,65.25,4,0.1,2036.16,4,23996.65,Male,Full-Time,High School,Personal,West,Single,2024,12,24/6/2024
42,26015.03,603,10807.01,35.6,1,2.7,183664.96,2,7354.88,Male,Retired,Bachelor,Business,South,Married,2016,60,21/4/2016
67,65379.71,612,9866.76,47.37,5,11.6,680.56,8,17232.48,Female,Self-Employed,Master,Medical,West,Single,2019,48,16/2/2019
37,59175.08,754,50366.14,36.1,3,2.3,7109.67,2,15287.97,Female,Part-Time,Bachelor,Home,South,Divorced,2014,36,1/11/2014
49,41345.41,752,14016.14,26.42,5,15.7,4223,1,8382.05,Female,Self-Employed,Master,Home,East,Married,2024,60,12/10/2024
22,22568.08,667,3569.3,61.41,,3.3,723.71,7,6265.84,Male,Part-Time,High School,Personal,South,Married,2015,60,21/2/2015
20,67328.31,564,9361.59,72.39,3,3.1,2812.2,6,24896.09,Male,Retired,Bachelor,Medical,Central,Divorced,2023,84,15/2/2023
28,43219.73,780,2428.4,25.18,3,6.2,110220.23,2,7891.57,Male,Full-Time,,Home,East,Widowed,2018,48,15/7/2018
33,42796.55,716,24769.29,26.23,,,13006.03,8,11978.85,Female,Full-Time,,Car,North,Divorced,2022,36,17/4/2022
53,103963.02,774,11125.42,34.68,4,12.7,1161.87,2,17620.32,Non-Binary,Full-Time,,Home,Central,Divorced,2017,36,6/7/2017
30,114490.71,724,7605.01,39.75,6,0.8,1261.7,6,36658.88,Female,Unemployed,High School,Home,South,Single,2022,84,3/9/2022
63,,656,7799.75,48.99,3,3.6,495.07,0,18807.16,Female,Full-Time,High School,Home,Central,Widowed,2018,36,20/2/2018
